cutoff_bohr,fold,seed,scheme,n_train,n_test,best_standardized_mse,final_standardized_mse,best_step
0.7,2,29,B,220,55,1.647910227913738e-06,1.647910227913738e-06,20000
0.7,2,47,B,220,55,5.007339141157726e-07,5.007339141157726e-07,20000
0.7,2,71,B,220,55,2.3945809299200345e-07,2.3945809299200345e-07,20000
0.7,2,101,B,220,55,3.3538295770423686e-07,3.3538295770423686e-07,20000
0.7,3,11,A,220,55,2.1717795319023332e-05,2.1717795319023332e-05,20000
0.7,3,29,A,220,55,5.869945549160294e-06,5.869945549160294e-06,20000
0.7,3,47,A,220,55,1.0431069553721083e-05,1.0431069553721083e-05,20000
0.7,3,71,A,220,55,7.476059766861373e-06,7.476059766861373e-06,20000
0.7,3,101,A,220,55,5.458806293604248e-06,5.458806293604248e-06,20000
0.7,3,11,B,220,55,2.3890842483892225e-07,2.3890842483892225e-07,20000
0.7,3,29,B,220,55,1.6355553094390899e-06,1.6355553094390899e-06,20000
0.7,3,47,B,220,55,4.924141389400356e-07,4.924141389400356e-07,20000
0.7,3,71,B,220,55,2.3517293985724025e-07,2.3517293985724025e-07,20000
0.7,3,101,B,220,55,3.3243522047737835e-07,3.3243522047737835e-07,20000
0.7,4,11,A,220,55,2.1748198895524215e-05,2.1748198895524215e-05,20000
0.7,4,29,A,220,55,5.985927841618899e-06,5.985927841618899e-06,20000
0.7,4,47,A,220,55,1.0864833131088547e-05,1.0864833131088547e-05,20000
0.7,4,71,A,220,55,7.569399328709717e-06,7.569399328709717e-06,20000
0.7,4,101,A,220,55,5.128769381221304e-06,5.128769381221304e-06,20000
0.7,4,11,B,220,55,2.3464957634282388e-07,2.3464957634282388e-07,20000
0.7,4,29,B,220,55,1.629515684969693e-06,1.629515684969693e-06,20000
0.7,4,47,B,220,55,4.870860518259397e-07,4.870860518259397e-07,20000
0.7,4,71,B,220,55,2.3159800312756847e-07,2.3159800312756847e-07,20000
0.7,4,101,B,220,55,3.2692539156280584e-07,3.2692539156280584e-07,20000
1.0,0,11,A,195,50,6.875178386086741e-06,6.875178386086741e-06,20000
1.0,0,29,A,195,50,9.314693239765635e-06,9.314693239765635e-06,20000
1.0,0,47,A,195,50,5.760724351875168e-06,5.760724351875168e-06,20000
1.0,0,71,A,195,50,1.2852381639108562e-05,1.2852381639108562e-05,20000
1.0,0,101,A,195,50,1.0376530087382397e-05,1.0376530087382397e-05,20000
1.0,0,11,B,195,50,1.2465284248396727e-06,1.2465284248396727e-06,20000
1.0,0,29,B,195,50,1.4754661434284642e-06,1.4754661434284642e-06,20000
1.0,0,47,B,195,50,6.549854761632384e-07,6.549854761632384e-07,20000
1.0,0,71,B,195,50,4.877873259967155e-07,4.877873259967155e-07,20000
1.0,0,101,B,195,50,8.207649772276893e-07,8.207649772276893e-07,20000
1.0,1,11,A,196,49,6.8584517803369095e-06,6.8584517803369095e-06,20000
1.0,1,29,A,196,49,9.205896928954374e-06,9.205896928954374e-06,20000
1.0,1,47,A,196,49,5.998606191304524e-06,5.998606191304524e-06,20000
1.0,1,71,A,196,49,1.3017934707850876e-05,1.3017934707850876e-05,20000
1.0,1,101,A,196,49,1.0566785862156948e-05,1.0566785862156948e-05,20000
1.0,1,11,B,196,49,1.3147068575493602e-06,1.3147068575493602e-06,20000
1.0,1,29,B,196,49,1.6009302484597212e-06,1.6009302484597212e-06,20000
1.0,1,47,B,196,49,7.165707147032635e-07,7.165707147032635e-07,20000
1.0,1,71,B,196,49,5.278727418268064e-07,5.278727418268064e-07,20000
1.0,1,101,B,196,49,9.056921398202179e-07,9.056921398202179e-07,20000
1.0,2,11,A,196,49,7.982510627057502e-06,7.982510627057502e-06,20000
1.0,2,29,A,196,49,8.23311074726333e-06,8.23311074726333e-06,20000
1.0,2,47,A,196,49,5.851120995980417e-06,5.851120995980417e-06,20000
1.0,2,71,A,196,49,1.2877129191666939e-05,1.2877129191666939e-05,20000
1.0,2,101,A,196,49,1.0452069806874339e-05,1.0452069806874339e-05,20000
1.0,2,11,B,196,49,1.3023943719617225e-06,1.3023943719617225e-06,20000
1.0,2,29,B,196,49,1.579832203648229e-06,1.579832203648229e-06,20000
