r_bohr,r_angstrom,total_hartree,nuclear_repulsion_hartree,electronic_hartree,one_electron_hartree,two_electron_hartree,scf_iterations,n_ao,n_mo,minimum_overlap_eigenvalue,point_group,scf_seconds
0.3202261273339983,0.16945636884626147,1.269454613975223,3.122793284624749,-1.8533386706495258,-1.853338670649526,2.220446049250313e-16,2,160,160,1.710642774409514e-08,d2h,0.2926210000005085
0.32416723006105713,0.17154191059433038,1.2340727276626082,3.0848275435232893,-1.850754815860681,-1.850754815860681,1.1102230246251565e-16,2,160,160,1.7461556319950376e-08,d2h,0.2986392499988142
0.32815683692122516,0.173653119624264,1.1991880373000425,3.0473233755603646,-1.848135338260322,-1.8481353382603223,1.1102230246251565e-16,2,160,160,1.7823494634702135e-08,d2h,0.298517917000936
0.3321955448669523,0.17579031182969465,1.164795163285411,3.0102751691041205,-1.8454800058187095,-1.8454800058187095,-1.1102230246251565e-16,2,160,160,1.8192419698083556e-08,d2h,0.2964629159996548
0.3362839581975311,0.1779538069920364,1.1308887892837425,2.973677380746799,-1.8427885914630564,-1.8427885914630564,1.1102230246251565e-16,2,160,160,1.8568532975712415e-08,d2h,0.3306089580000844
0.3404226886495161,0.1801439288283328,1.0974636612337811,2.9375245344753025,-1.8400608732415213,-1.8400608732415211,-2.220446049250313e-16,2,160,160,1.8952039333315024e-08,d2h,0.30057962499995483
0.3446123554882559,0.18236100503969374,1.0645145863649015,2.901811220851828,-1.8372966344869264,-1.8372966344869264,1.1102230246251565e-16,2,160,160,1.934316857351306e-08,d2h,0.3058874170001218
0.3488535856005521,0.18460536736032823,1.0320364322246904,2.866532096204481,-1.8344956639797907,-1.8344956639797911,2.220446049250313e-16,2,160,160,1.974216440375793e-08,d2h,0.29891862499971467
0.35314701358845824,0.1868773516071809,1.0000241257168079,2.831681881827707,-1.831657756110899,-1.831657756110899,1.1102230246251565e-16,2,160,160,2.0149292009323448e-08,d2h,0.29970200000025216
0.3574932818642336,0.18917729773017924,0.9684726521483857,2.7972553631924564,-1.8287827110440706,-1.8287827110440706,0.0,2,160,160,2.056483707674438e-08,d2h,0.30096216699894285
0.3618930407464651,0.19150554986309906,0.9373770542877333,2.7632473891659592,-1.825870334878226,-1.8258703348782257,-1.1102230246251565e-16,2,160,160,2.0989110120498797e-08,d2h,0.29490104199976486
0.3663469485573725,0.19386245637505636,0.9067324314311138,2.729652871240972,-1.8229204398098582,-1.8229204398098582,0.0,2,160,160,2.1422447188212582e-08,d2h,0.2964344579995668
0.3708556717213111,0.19624836992263262,0.8765339384790329,2.696466782774392,-1.819932844295359,-1.819932844295359,0.0,2,160,160,2.1865214093535562e-08,d2h,0.2979058750006516
0.37541988486448685,0.1986636475026417,0.8467767850209922,2.663684158235156,-1.8169073732141638,-1.8169073732141638,0.0,2,160,160,2.231780632305676e-08,d2h,0.28983133299880137
0.3800402709158985,0.2011086505055463,0.8174562344299301,2.631300092461245,-1.8138438580313148,-1.8138438580313148,1.1102230246251565e-16,2,160,160,2.278065292985534e-08,d2h,0.2978621670008579
0.38471752120952185,0.20358374476953134,0.7885676029648812,2.599309739925746,-1.8107421369608647,-1.810742136960865,3.3306690738754696e-16,2,160,160,2.3254224223684728e-08,d2h,0.29668712499915273
0.3894523355877526,0.2060893006352437,0.760106258882524,2.567708314011836,-1.8076020551293122,-1.807602055129312,-2.220446049250313e-16,2,160,160,2.37390272709494e-08,d2h,0.2936792090004019
0.394245422506121,0.20862569300120476,0.7320676215576791,2.5364910862965675,-1.8044234647388884,-1.8044234647388881,-2.220446049250313e-16,2,160,160,2.4235617036686707e-08,d2h,0.29347950000010314
0.39909749913929576,0.21119330137990527,0.704447160612606,2.5056533858433747,-1.8012062252307688,-1.801206225230769,2.220446049250313e-16,2,160,160,2.4744593826579927e-08,d2h,0.2979325839987723
0.4040092914883932,0.2137925099545909,0.6772403950555725,2.475190598503176,-1.7979502034476034,-1.7979502034476034,0.0,2,160,160,2.526661279107975e-08,d2h,0.29524758299885434
0.4089815344896063,0.21642370763674626,0.6504428924285137,2.4450981662239664,-1.7946552737954526,-1.7946552737954526,0.0,2,160,160,2.5802388905970138e-08,d2h,0.2980067919997964
0.4140149721241705,0.21908728812428635,0.6240502679648698,2.4153715863688197,-1.7913213184039498,-1.7913213184039498,0.0,2,160,160,2.6352696395216593e-08,d2h,0.28876291699998546
0.41911035752968395,0.2217836499604646,0.5980581837572045,2.3860064110421653,-1.7879482272849607,-1.787948227284961,1.1102230246251565e-16,2,160,160,2.6918380994033903e-08,d2h,0.2981317499998113
0.42426845311279693,0.22451319659350555,0.572462347935571,2.356998246424269,-1.7845358984886979,-1.7845358984886979,0.0,2,160,160,2.7500364120743248e-08,d2h,0.29666104200077825
0.42949003066328795,0.22727633643697148,0.547258513857283,2.3283427521138,-1.7810842382565168,-1.781084238256517,2.220446049250313e-16,2,160,160,2.809964464989496e-08,d2h,0.2979198749999341
0.43477587146954494,0.23007348293087224,0.5224424793078406,2.300035640478378,-1.7775931611705376,-1.7775931611705373,-2.220446049250313e-16,2,160,160,2.871731767546301e-08,d2h,0.2970530829989002
0.44012676643546633,0.23290505460352665,0.49801008571447736,2.2720726760130483,-1.774062590298571,-1.7740625902985707,-2.220446049250313e-16,2,160,160,2.9354566324125258e-08,d2h,0.29623349999928905
0.4455435161988023,0.23577147513418614,0.4739572173723363,2.244449674706518,-1.7704924573341818,-1.770492457334182,2.220446049250313e-16,2,160,160,3.001268829786694e-08,d2h,0.2944412079996255
0.4510269312509509,0.23867317341642805,0.450279800683861,2.217162503415126,-1.766882702731265,-1.7668827027312652,1.1102230246251565e-16,2,160,160,3.069309048079933e-08,d2h,0.31147162500019476
0.4565778320582298,0.24161058362232976,0.42697380341188707,2.1902070792444097,-1.7632332758325227,-1.7632332758325227,0.0,2,160,160,3.139730619000416e-08,d2h,0.30486787500012724
0.46219704918464033,0.24458414526743277,0.4040352339472295,2.163579368938194,-1.7595441349909646,-1.7595441349909646,0.0,2,160,160,3.212700835429691e-08,d2h,0.2991129580004781
0.46788542341614153,0.2475943032765057,0.3814601405900566,2.1372753882751137,-1.755815247685057,-1.755815247685057,0.0,2,160,160,3.2884012926255266e-08,d2h,0.31362395800169907
0.473643805886455,0.2506415080501172,0.3592446108460987,2.111291201472455,-1.7520465906263565,-1.7520465906263565,0.0,2,160,160,3.367030445512881e-08,d2h,0.30123912499948347
0.47947305820441677,0.25372621553202784,0.3373847707380926,2.0856229205972685,-1.748238149859176,-1.748238149859176,0.0,2,160,160,3.448803719044535e-08,d2h,0.2961941249996016
0.4853740525828978,0.2568488872774118,0.31587678413116804,2.060266704984623,-1.744389920853455,-1.7443899208534552,2.220446049250313e-16,2,160,160,3.533955951441284e-08,d2h,0.2938235829988116
0.49134767196931,0.26000999052191764,0.2947168520730554,2.0352187606629397,-1.7405019085898843,-1.7405019085898843,0.0,2,160,160,3.622743028738002e-08,d2h,0.3039650000009715
0.49739481017771897,0.2632099982515795,0.27390121214865104,2.0104753397863164,-1.7365741276376654,-1.7365741276376654,0.0,2,160,160,3.715443495552907e-08,d2h,0.2950553749997198
0.5035163720225829,0.26644938927358847,0.25342613784820744,1.9860327400737419,-1.7326066022255344,-1.7326066022255344,0.0,2,160,160,3.812360622799175e-08,d2h,0.29499475000011444
0.5097132734541368,0.269728648287935,0.2332879379491435,1.9618873042551412,-1.7285993663059978,-1.728599366305998,2.220446049250313e-16,2,160,160,3.91382476008591e-08,d2h,0.34923458299999766
0.5159864416954432,0.2730482659599332,0.21348295590984157,1.938035419524147,-1.7245524636143053,-1.7245524636143055,1.1102230246251565e-16,2,160,160,4.0201955092713785e-08,d2h,0.29444458299985854
0.5223368153811303,0.27640873899363727,0.19400756927685148,1.9144735169975255,-1.720465947720674,-1.7204659477206738,-2.220446049250313e-16,2,160,160,4.131864716036786e-08,d2h,0.2951249170000665
0.5287653446978362,0.27981057020616207,0.17485818910149553,1.8911980711811804,-1.716339882079685,-1.716339882079685,0.0,2,160,160,4.2492590476804524e-08,d2h,0.2974867089997133
