configuration,label,cutoff_bohr,median_A_rmse_cm-1,median_B_rmse_cm-1,median_A_over_B,min_A_over_B,max_A_over_B,B_win_count,A_win_count
lower-lr-long,"Longer, lower-rate fit",1.0,246.3771547886108,116.52393411708786,2.0878817742260716,1.86654912821034,2.957773803646011,5,0
lower-lr-long,"Longer, lower-rate fit",1.5,95.00453221570525,84.96788144611595,1.0328787318345842,0.9987188344565783,1.5240012675362564,4,1
lower-lr-long,"Longer, lower-rate fit",2.0,41.02790439894585,59.53692656932656,0.6748535402543749,0.6365530417484444,0.82703623968969,0,5
lower-lr-long,"Longer, lower-rate fit",3.0,5.244300167854017,24.98895509713883,0.1656071007231441,0.11325404998295578,0.21078359142583034,0,5
qz-basis,aug-cc-pVQZ,0.15,26264.324676184697,561.0516897936011,45.60394820394685,41.32059229309532,52.19758638974186,5,0
qz-basis,aug-cc-pVQZ,0.25,8437.601516642453,256.293870368523,32.92158920738171,28.685943170568,37.601372202440636,5,0
qz-basis,aug-cc-pVQZ,0.4,2479.4552829810896,89.66112515706345,27.171753948334555,25.17676948205765,32.707142509861804,5,0
qz-basis,aug-cc-pVQZ,0.7,651.5384387598286,124.38035298736301,5.2685494626214275,4.282220937362325,7.39260859410406,5,0
qz-basis,aug-cc-pVQZ,1.0,191.27124183763874,124.76219012273494,1.5412801490430932,1.2171903919305378,2.111955654696385,5,0
qz-basis,aug-cc-pVQZ,1.5,115.24348503390561,93.73761607936528,1.181889067671016,0.9892498348636247,1.6439508764201336,4,1
qz-basis,aug-cc-pVQZ,2.0,57.49774843183921,61.33593718190226,0.9513805405572042,0.780935583647706,1.1075221548889986,2,3
qz-basis,aug-cc-pVQZ,3.0,3.0038336180016754,31.1009997144203,0.10680350138255172,0.056849446490094255,0.12269103116642482,0,5
log-input,log R input,0.15,642.7679334371496,131.1834614637697,4.378572186602372,3.725423050988791,7.402598274647972,5,0
log-input,log R input,0.25,401.98910620906435,87.49669804112844,3.8917388100557346,2.818752925958267,5.661126178853434,5,0
log-input,log R input,0.4,226.16755889344716,58.20239555666316,3.852336140074115,2.2029806809249455,4.5478734667536935,5,0
log-input,log R input,0.7,59.6235779143488,42.580344409469824,1.4187616751409475,0.4867912775960532,2.2416252326047443,4,1
log-input,log R input,1.0,27.543595853780246,57.35318229173281,0.4579939815868631,0.3594229455563104,0.7515524892663825,0,5
log-input,log R input,1.5,18.98529960185367,84.080566986192,0.24091238152278865,0.17391745563023728,0.31183892486152376,0,5
log-input,log R input,2.0,18.12986311072373,80.67952344430971,0.25439475211629103,0.2091202231825698,0.265862096786146,0,5
log-input,log R input,3.0,1.9651850828980244,32.34192704167839,0.059883233233374036,0.04254758709727183,0.14212505182720434,0,5
