cutoff_bohr,scheme,seed,n_points,rmse_cm-1,linear-r-weighted-rmse_cm-1,mae_cm-1,max-absolute-error_cm-1,shortest-quintile-rmse_cm-1
2.0,A,71,189,112.82884583156692,65.50681047663424,70.24402362632902,662.9056033495351,223.2658849427385
2.0,A,101,189,54.445119045777595,29.303375672612116,29.571902553146003,370.29147009956,113.99284335422061
2.0,B,11,189,141.66117725196884,93.21559237617971,103.01430802335737,719.915435759531,254.09851504546188
2.0,B,29,189,127.14525475907568,82.44451810786398,91.12556652787096,630.6217669075039,232.2373096568334
2.0,B,47,189,90.29504604683913,87.05136360581157,73.08648041188576,378.24790260065146,130.79128023769226
2.0,B,71,189,126.08817134196615,86.1872498559707,95.01932164581706,602.583791616272,221.1849470687499
2.0,B,101,189,44.38779196875645,27.03351945004374,29.826005525257006,272.71339522965144,85.41123236557893
3.0,A,11,156,5.904739014900945,5.107634990289822,5.110350336972032,12.396887481673476,7.542467247014659
3.0,A,29,156,2.427939622338484,1.9068950213968374,1.5450529086943385,15.952564586198465,4.577187253196441
3.0,A,47,156,7.173918192230899,6.593771165898384,6.303890758642787,19.424049925212078,7.628789834672044
3.0,A,71,156,9.307586516048493,9.782897625285303,8.131532101263524,28.444382071707206,6.401534434264122
3.0,A,101,156,3.035217637033799,3.6128345440480225,2.3432760944343243,14.298161271966046,1.650090630251021
3.0,B,11,156,74.68577419728953,52.21489411107055,53.53979253988872,445.7345398185704,134.5616134623035
3.0,B,29,156,54.449201715173,38.16883005810305,39.707424567759176,298.8179374157774,97.06917908192106
3.0,B,47,156,34.975013580735435,34.27490448720713,24.960092341222442,182.07805074935942,52.01313140975058
3.0,B,71,156,49.86685361682967,33.97263692027754,35.12652068288282,279.95325804392866,90.51730451093634
3.0,B,101,156,28.66593584178399,20.25314387213224,20.794763846742377,177.33757433160497,52.678980190267445
