cutoff_bohr,scheme,seed,n_points,rmse_cm-1,linear-r-weighted-rmse_cm-1,mae_cm-1,max-absolute-error_cm-1,shortest-quintile-rmse_cm-1
1.0,A,47,245,192.29348698731164,86.0434158915562,103.84577456789359,1381.8793700622934,408.95104142406007
1.0,A,71,245,199.6548355732889,91.49104930316544,112.01021637727628,1418.1643823811335,422.25354403309706
1.0,A,101,245,185.21115980959325,80.5186892795622,94.36786920360802,1369.504395667777,397.53205127818313
1.0,B,11,245,136.31052718738204,84.18160045615943,102.89184958370635,621.2478927802141,248.8845800667212
1.0,B,29,245,90.56593655851921,49.45130076902841,62.71533076835025,454.3766368520523,171.01831316989197
1.0,B,47,245,124.76219012273494,71.36466988122447,89.73445859243728,599.0358904483602,234.41181002910463
1.0,B,71,245,121.87728687578675,64.09974984270964,81.00854169031717,592.1287789159903,234.004113258674
1.0,B,101,245,125.37454954995303,82.81794908832725,97.08770206783822,577.8475004311695,220.90725931915964
1.5,A,11,212,103.49449824752489,50.23099851080313,52.21655660008916,798.4739506667814,219.02266572093208
1.5,A,29,212,123.51541300045272,62.07105688058192,67.58585319930273,928.1542461518773,259.80430521189135
1.5,A,47,212,126.00328579625811,64.59015675288772,71.8790208954661,930.7542697833802,261.22570589376676
1.5,A,71,212,110.78746367374468,56.0272275596022,61.64790619350733,847.7646979682185,232.84377082240263
1.5,A,101,212,115.24348503390561,60.012573425389085,67.00557212824624,863.7412801917297,239.4631125928461
1.5,B,11,212,104.6191716188584,61.203173960366776,71.32333538133565,574.4490814981597,196.31416093873617
1.5,B,29,212,75.1332748271772,45.58969801678129,53.09597178811024,439.7447045413058,137.95669356504314
1.5,B,47,212,91.40635405053378,52.58808550567168,61.344520181369816,538.0725540882744,174.25847039067492
1.5,B,71,212,93.73761607936528,52.35020586465236,60.36188237303408,547.1896953144743,179.33157314703814
1.5,B,101,212,98.34915851715601,64.77053304052338,73.66764044707577,542.3275293712412,173.43896813879007
2.0,A,11,189,57.49774843183921,32.35750607151549,34.56126235517254,379.6389165867101,118.44671833607515
2.0,A,29,189,66.13802067506148,36.68481648100501,38.66081107995525,436.78325224184704,135.71564293494822
2.0,A,47,189,67.93090931983664,38.61309158290741,41.37659975842165,433.53855273182023,137.02933659544118
2.0,A,71,189,55.1708928092075,29.586483747474354,29.602609077702553,373.0384334260055,115.72295101586033
2.0,A,101,189,55.56045612645777,30.389337603340916,31.629780348891988,371.78940853421665,115.41418896515701
2.0,B,11,189,60.43611991282053,36.23033559326025,39.74247484328451,345.2438999283802,115.12985787703079
2.0,B,29,189,59.95418478645522,40.00532922609332,44.17563586619909,331.6505372339752,107.73072876457636
2.0,B,47,189,61.33593718190226,35.967505862192034,39.152185814703124,364.9299234458244,119.61593489685451
2.0,B,71,189,65.88358561074631,38.48453358288123,41.50214998250243,382.0708684200672,127.54601403057
2.0,B,101,189,71.1460167648374,46.954286726687286,51.99018768278635,387.1805799657216,127.65698863104194
3.0,A,11,156,1.6451709836893178,1.2174001980436198,1.2593674276952185,7.379722345988511,2.574817684781422
3.0,A,29,156,3.898731113660919,3.803097006949856,3.457216247241498,10.394689558757285,3.3818495325774256
3.0,A,47,156,3.0038336180016754,1.8549468596846859,1.7789165283248722,20.2692531240773,6.117212593875357
3.0,A,71,156,3.357068606416474,2.2305707618491084,2.2494292656452903,21.94560034186717,6.615371124541218
3.0,A,101,156,2.0243839443815337,1.4633238908367512,1.5180106471002375,11.730086892144849,3.6013123392432815
3.0,B,11,156,28.939085343178863,18.65085740150698,18.71712183148251,184.20543990583363,55.5493877519459
3.0,B,29,156,31.776822450635915,22.629170370503125,23.318978171612592,188.6102352214359,57.25727867184594
3.0,B,47,156,28.12486088112843,17.759550775354736,17.65206686453582,186.28643221160385,55.28129264721302
3.0,B,71,156,31.1009997144203,19.43564573253527,19.08697845885547,201.87524916557783,60.94577605141524
3.0,B,101,156,34.444471555961236,23.107244232278887,23.627801797014712,213.96242646965803,64.40877574228594
