cutoff_bohr,fold,seed,scheme,n_train,n_test,best_standardized_mse,final_standardized_mse,best_step
0.7,0,101,B,220,55,2.612209625280021e-06,2.612209625280021e-06,40000
0.7,1,11,A,220,55,0.0018528743164754737,0.0018528743164754737,40000
0.7,1,29,A,220,55,0.0020541679118785635,0.0020541679118785635,40000
0.7,1,47,A,220,55,0.0015913141474981469,0.0015913141474981469,40000
0.7,1,71,A,220,55,0.001769471115240597,0.001769471115240597,40000
0.7,1,101,A,220,55,0.0017791849843357306,0.0017791849843357306,40000
0.7,1,11,B,220,55,2.7380930883568724e-06,2.7380930883568724e-06,40000
0.7,1,29,B,220,55,1.8447386454206933e-06,1.8447386454206933e-06,40000
0.7,1,47,B,220,55,3.707239663353927e-06,3.707239663353927e-06,40000
0.7,1,71,B,220,55,3.808062308935799e-06,3.808062308935799e-06,40000
0.7,1,101,B,220,55,2.850230180244428e-06,2.850230180244428e-06,40000
0.7,2,11,A,220,55,0.001776224163529993,0.001776224163529993,40000
0.7,2,29,A,220,55,0.0019718889786095118,0.0019718889786095118,40000
0.7,2,47,A,220,55,0.0015612826179320668,0.0015612826179320668,40000
0.7,2,71,A,220,55,0.0017147469209534583,0.0017147469209534583,40000
0.7,2,101,A,220,55,0.001642460140073872,0.001642460140073872,40000
0.7,2,11,B,220,55,2.694228423039967e-06,2.694228423039967e-06,40000
0.7,2,29,B,220,55,1.8091642637389937e-06,1.8091642637389937e-06,40000
0.7,2,47,B,220,55,3.6503968767984975e-06,3.6503968767984975e-06,40000
0.7,2,71,B,220,55,3.7436660014937385e-06,3.7436660014937385e-06,40000
0.7,2,101,B,220,55,2.7931525877390166e-06,2.7931525877390166e-06,40000
0.7,3,11,A,220,55,0.0016730320402620822,0.0016730320402620822,40000
0.7,3,29,A,220,55,0.0018601469556532198,0.0018601469556532198,40000
0.7,3,47,A,220,55,0.001501041297941987,0.001501041297941987,40000
0.7,3,71,A,220,55,0.0016254233971127164,0.0016254233971127164,40000
0.7,3,101,A,220,55,0.001628372322358415,0.001628372322358415,40000
0.7,3,11,B,220,55,2.705022978649476e-06,2.705022978649476e-06,40000
0.7,3,29,B,220,55,1.8240244056177118e-06,1.8240244056177118e-06,40000
0.7,3,47,B,220,55,3.670889414121335e-06,3.670889414121335e-06,40000
0.7,3,71,B,220,55,3.756595322084087e-06,3.756595322084087e-06,40000
0.7,3,101,B,220,55,2.8020464752138527e-06,2.8020464752138527e-06,40000
0.7,4,11,A,220,55,0.001795228879934929,0.001795228879934929,40000
0.7,4,29,A,220,55,0.0019927306049941887,0.0019927306049941887,40000
0.7,4,47,A,220,55,0.0016182104426325206,0.0016182104426325206,40000
0.7,4,71,A,220,55,0.0017409411600939504,0.0017409411600939504,40000
0.7,4,101,A,220,55,0.0016663593537615078,0.0016663593537615078,40000
0.7,4,11,B,220,55,2.730827533198899e-06,2.730827533198899e-06,40000
0.7,4,29,B,220,55,1.8443896827347885e-06,1.8443896827347885e-06,40000
0.7,4,47,B,220,55,3.690789770085701e-06,3.690789770085701e-06,40000
0.7,4,71,B,220,55,3.790678155457955e-06,3.790678155457955e-06,40000
0.7,4,101,B,220,55,2.8172331598858804e-06,2.8172331598858804e-06,40000
1.0,0,11,A,195,50,0.0007307276554437627,0.0007307276554437627,40000
1.0,0,29,A,195,50,0.0009933012135467446,0.0009933012135467446,40000
1.0,0,47,A,195,50,0.0007697661323400819,0.0007697661323400819,40000
1.0,0,71,A,195,50,0.0006912910615721271,0.0006912910615721271,40000
1.0,0,101,A,195,50,0.0007894690866557738,0.0007894690866557738,40000
1.0,0,11,B,195,50,3.4094616421325985e-06,3.4094616421325985e-06,40000
1.0,0,29,B,195,50,2.2670066295716548e-06,2.2670066295716548e-06,40000
1.0,0,47,B,195,50,4.408722078753098e-06,4.408722078753098e-06,40000
1.0,0,71,B,195,50,4.478317941784792e-06,4.478317941784792e-06,40000
1.0,0,101,B,195,50,3.524577178901775e-06,3.524577178901775e-06,40000
1.0,1,11,A,196,49,0.0007419654880523891,0.0007419654880523891,40000
1.0,1,29,A,196,49,0.0010180906714032656,0.0010180906714032656,40000
1.0,1,47,A,196,49,0.0007864541944613739,0.0007864541944613739,40000
1.0,1,71,A,196,49,0.0008955848515589731,0.0008955848515589731,40000
1.0,1,101,A,196,49,0.0008115548567075617,0.0008115548567075617,40000
1.0,1,11,B,196,49,3.6675066747529546e-06,3.6675066747529546e-06,40000
1.0,1,29,B,196,49,2.4802705244477272e-06,2.4802705244477272e-06,40000
1.0,1,47,B,196,49,4.685236714575384e-06,4.685236714575384e-06,40000
1.0,1,71,B,196,49,4.8276997016914356e-06,4.8276997016914356e-06,40000
1.0,1,101,B,196,49,3.757981872800832e-06,3.757981872800832e-06,40000
1.0,2,11,A,196,49,0.0006917795159051216,0.0006917795159051216,40000
1.0,2,29,A,196,49,0.0009270409357467867,0.0009270409357467867,40000
1.0,2,47,A,196,49,0.0007251718830229499,0.0007251718830229499,40000
1.0,2,71,A,196,49,0.0008250634049818207,0.0008250634049818207,40000
1.0,2,101,A,196,49,0.0007322416322323441,0.0007322416322323441,40000
1.0,2,11,B,196,49,3.5663257462883064e-06,3.5663257462883064e-06,40000
1.0,2,29,B,196,49,2.3884801178105015e-06,2.3884801178105015e-06,40000
1.0,2,47,B,196,49,4.523801983017335e-06,4.523801983017335e-06,40000
1.0,2,71,B,196,49,4.695740341222864e-06,4.695740341222864e-06,40000
1.0,2,101,B,196,49,3.6401230710323173e-06,3.6401230710323173e-06,40000
1.0,3,11,A,196,49,0.0007472205939740245,0.0007472205939740245,40000
1.0,3,29,A,196,49,0.0010065744598133598,0.0010065744598133598,40000
1.0,3,47,A,196,49,0.0007887720322944236,0.0007887720322944236,40000
1.0,3,71,A,196,49,0.0007042856810337677,0.0007042856810337677,40000
1.0,3,101,A,196,49,0.000800528481897803,0.000800528481897803,40000
1.0,3,11,B,196,49,3.5646544468932742e-06,3.5646544468932742e-06,40000
1.0,3,29,B,196,49,2.443687613456471e-06,2.443687613456471e-06,40000
1.0,3,47,B,196,49,4.537510427129987e-06,4.537510427129987e-06,40000
1.0,3,71,B,196,49,4.700057975924273e-06,4.700057975924273e-06,40000
1.0,3,101,B,196,49,3.6462173780656434e-06,3.6462173780656434e-06,40000
1.0,4,11,A,197,48,0.000735517729123503,0.000735517729123503,40000
1.0,4,29,A,197,48,0.0009992747499430162,0.0009992747499430162,40000
1.0,4,47,A,197,48,0.000770022592339204,0.000770022592339204,40000
1.0,4,71,A,197,48,0.0006986566980634899,0.0006986566980634899,40000
1.0,4,101,A,197,48,0.0007850775693041489,0.0007850775693041489,40000
1.0,4,11,B,197,48,3.555370531056983e-06,3.555370531056983e-06,40000
1.0,4,29,B,197,48,2.4066146094399365e-06,2.4066146094399365e-06,40000
1.0,4,47,B,197,48,4.515727657744235e-06,4.515727657744235e-06,40000
1.0,4,71,B,197,48,4.6958261335663235e-06,4.6958261335663235e-06,40000
1.0,4,101,B,197,48,3.638990013012628e-06,3.638990013012628e-06,40000
1.5,0,11,A,169,43,7.730580386265581e-05,7.730580386265581e-05,40000
1.5,0,29,A,169,43,0.0001280009288981031,0.0001280009288981031,40000
1.5,0,47,A,169,43,9.817845050312261e-05,9.817845050312261e-05,40000
1.5,0,71,A,169,43,9.839454865319725e-05,9.839454865319725e-05,40000
1.5,0,101,A,169,43,9.512703367482307e-05,9.512703367482307e-05,40000
1.5,0,11,B,169,43,3.0547435205724804e-06,3.0547435205724804e-06,40000
1.5,0,29,B,169,43,2.195416076742799e-06,2.195416076742799e-06,40000
1.5,0,47,B,169,43,3.959687712415439e-06,3.959687712415439e-06,40000
1.5,0,71,B,169,43,3.9266394301441395e-06,3.9266394301441395e-06,40000
1.5,0,101,B,169,43,3.150878746890483e-06,3.150878746890483e-06,40000
1.5,1,11,A,170,42,8.682256738955582e-05,8.682256738955582e-05,40000
1.5,1,29,A,170,42,0.0001365219913461743,0.0001365219913461743,40000
1.5,1,47,A,170,42,0.00010349726299454384,0.00010349726299454384,40000
1.5,1,71,A,170,42,0.00010173527840200388,0.00010173527840200388,40000
1.5,1,101,A,170,42,9.863985926940592e-05,9.863985926940592e-05,40000
