wavelength_nm,intensity_arb_gaussian_fwhm_0.35eV_COSMETIC
321.0,0.00287962
321.5,0.00295751
322.0,0.00307698
322.5,0.00324103
323.0,0.00345308
323.5,0.00371691
324.0,0.00403677
324.5,0.00441734
325.0,0.00486378
325.5,0.00538177
326.0,0.0059775
326.5,0.00665771
327.0,0.00742969
327.5,0.00830132
328.0,0.00928107
328.5,0.01037802
329.0,0.01160186
329.5,0.0129629
330.0,0.01447206
330.5,0.01614089
331.0,0.01798156
331.5,0.02000681
332.0,0.02222999
332.5,0.02466501
333.0,0.02732632
333.5,0.03022885
334.0,0.03338803
334.5,0.03681967
335.0,0.04053999
335.5,0.0445655
336.0,0.04891296
336.5,0.05359931
337.0,0.05864161
337.5,0.06405691
338.0,0.06986222
338.5,0.07607438
339.0,0.08270997
339.5,0.08978522
340.0,0.09731587
340.5,0.10531709
341.0,0.11380338
341.5,0.12278838
342.0,0.13228485
342.5,0.14230447
343.0,0.15285777
343.5,0.16395398
344.0,0.17560094
344.5,0.18780497
345.0,0.20057077
345.5,0.21390131
346.0,0.22779771
346.5,0.24225918
347.0,0.25728292
347.5,0.27286403
348.0,0.28899547
348.5,0.30566795
349.0,0.32286995
349.5,0.34058762
350.0,0.3588048
350.5,0.37750296
351.0,0.39666126
351.5,0.41625651
352.0,0.43626323
352.5,0.45665366
353.0,0.47739785
353.5,0.4984637
354.0,0.51981705
354.5,0.54142177
355.0,0.56323987
355.5,0.58523163
356.0,0.60735571
356.5,0.62956929
357.0,0.65182824
357.5,0.67408729
358.0,0.69630017
358.5,0.71841978
359.0,0.74039842
359.5,0.76218795
360.0,0.78373997
360.5,0.80500603
361.0,0.82593785
361.5,0.84648748
362.0,0.8666075
362.5,0.88625126
363.0,0.90537302
363.5,0.92392815
364.0,0.94187335
364.5,0.95916678
365.0,0.97576826
365.5,0.9916394
366.0,1.00674377
366.5,1.02104707
367.0,1.0345172
367.5,1.04712442
368.0,1.05884143
368.5,1.06964351
369.0,1.07950854
369.5,1.08841711
370.0,1.09635257
370.5,1.10330105
371.0,1.10925149
371.5,1.11419569
372.0,1.11812826
372.5,1.12104663
373.0,1.12295103
373.5,1.12384445
374.0,1.12373258
374.5,1.12262374
375.0,1.12052885
375.5,1.1174613
376.0,1.11343686
376.5,1.10847364
377.0,1.1025919
377.5,1.095814
378.0,1.08816423
378.5,1.0796687
379.0,1.07035524
379.5,1.06025322
380.0,1.04939341
380.5,1.03780788
381.0,1.02552982
381.5,1.01259342
382.0,0.99903372
382.5,0.98488645
383.0,0.97018792
383.5,0.95497486
384.0,0.9392843
384.5,0.92315343
385.0,0.90661946
385.5,0.88971953
386.0,0.87249056
386.5,0.85496914
387.0,0.83719145
387.5,0.81919312
388.0,0.80100917
388.5,0.78267388
389.0,0.76422076
389.5,0.74568242
390.0,0.72709053
390.5,0.70847578
391.0,0.68986774
391.5,0.67129493
392.0,0.65278467
392.5,0.6343631
393.0,0.61605515
393.5,0.59788447
394.0,0.57987349
394.5,0.56204333
395.0,0.54441382
395.5,0.52700354
396.0,0.50982975
396.5,0.49290845
397.0,0.47625438
397.5,0.45988104
398.0,0.44380068
398.5,0.42802437
399.0,0.41256199
399.5,0.39742228
400.0,0.38261287
400.5,0.3681403
401.0,0.35401008
401.5,0.34022672
402.0,0.32679374
402.5,0.31371377
403.0,0.30098854
403.5,0.28861894
404.0,0.27660508
404.5,0.2649463
405.0,0.25364126
405.5,0.24268793
406.0,0.23208367
406.5,0.22182527
407.0,0.21190897
407.5,0.20233052
408.0,0.19308523
408.5,0.18416797
409.0,0.17557327
409.5,0.16729529
410.0,0.15932791
410.5,0.15166472
411.0,0.1442991
411.5,0.13722423
