wavelength_nm,intensity_arb_gaussian_fwhm_0.35eV_COSMETIC
257.756,0.10931982
258.091,0.11142081
258.426,0.11342198
258.76,0.11531683
259.095,0.11709937
259.43,0.11876417
259.764,0.12030638
260.099,0.12172176
260.434,0.12300673
260.768,0.12415831
261.103,0.1251742
261.438,0.12605274
261.772,0.12679293
262.107,0.1273944
262.442,0.12785742
262.776,0.12818284
263.111,0.12837212
263.446,0.12842728
263.78,0.12835082
264.115,0.12814578
264.45,0.12781562
264.784,0.12736422
265.119,0.12679581
265.454,0.12611497
265.788,0.12532655
266.123,0.12443561
266.458,0.12344744
266.792,0.12236743
267.127,0.12120112
267.462,0.11995406
267.796,0.11863186
268.131,0.1172401
268.466,0.1157843
268.8,0.11426989
269.135,0.11270222
269.47,0.11108647
269.804,0.10942765
270.139,0.10773062
270.474,0.10600001
270.808,0.10424024
271.143,0.10245552
271.478,0.10064981
271.812,0.09882687
272.147,0.09699017
272.482,0.09514298
272.816,0.09328834
273.151,0.09142904
273.486,0.08956767
273.82,0.08770658
274.155,0.08584796
274.49,0.08399379
274.824,0.08214586
275.159,0.08030581
275.494,0.07847514
275.828,0.0766552
276.163,0.07484722
276.498,0.07305232
276.832,0.07127152
277.167,0.06950577
277.502,0.06775593
277.836,0.06602282
278.171,0.06430718
278.506,0.06260974
278.84,0.06093118
279.175,0.05927215
279.51,0.05763328
279.844,0.05601521
280.179,0.05441855
280.514,0.05284388
280.848,0.05129182
281.183,0.04976294
281.518,0.04825785
281.852,0.04677711
282.187,0.04532132
282.522,0.04389102
282.856,0.04248679
283.191,0.04110916
283.526,0.03975866
283.86,0.0384358
284.195,0.03714106
284.53,0.03587491
284.864,0.03463776
285.199,0.03343001
285.534,0.03225202
285.868,0.03110409
286.203,0.02998651
286.538,0.02889948
286.872,0.02784318
287.207,0.02681774
287.542,0.02582321
287.876,0.02485962
288.211,0.02392692
288.546,0.02302501
288.88,0.02215373
289.215,0.02131287
289.55,0.02050216
289.884,0.01972129
290.219,0.01896987
290.554,0.01824749
290.888,0.01755365
291.223,0.01688785
291.558,0.01624952
291.892,0.01563805
292.227,0.01505279
292.562,0.01449307
292.896,0.01395818
293.231,0.01344738
293.565,0.01295991
293.9,0.01249498
294.235,0.0120518
294.569,0.01162955
294.904,0.01122742
295.239,0.01084458
295.573,0.0104802
295.908,0.01013345
296.243,0.00980351
296.577,0.00948955
296.912,0.00919078
297.247,0.00890641
297.581,0.00863564
297.916,0.00837773
298.251,0.00813194
298.585,0.00789754
298.92,0.00767384
299.255,0.00746017
299.589,0.0072559
299.924,0.0070604
300.259,0.00687309
300.593,0.00669343
300.928,0.00652087
301.263,0.00635494
301.597,0.00619516
301.932,0.00604111
302.267,0.00589238
302.601,0.00574861
302.936,0.00560946
303.271,0.00547461
303.605,0.00534381
303.94,0.00521679
304.275,0.00509333
304.609,0.00497326
304.944,0.0048564
305.279,0.00474262
305.613,0.0046318
305.948,0.00452387
306.283,0.00441877
306.617,0.00431645
306.952,0.00421689
307.287,0.00412011
307.621,0.00402614
307.956,0.003935
308.291,0.00384679
308.625,0.00376156
308.96,0.00367943
309.295,0.00360051
309.629,0.00352494
309.964,0.00345285
310.299,0.00338441
310.633,0.0033198
310.968,0.0032592
311.303,0.00320281
311.637,0.00315084
311.972,0.00310351
312.307,0.00306106
312.641,0.00302374
312.976,0.00299178
313.311,0.00296546
313.645,0.00294505
313.98,0.00293082
314.315,0.00292306
314.649,0.00292207
314.984,0.00292816
315.319,0.00294161
315.653,0.00296277
315.988,0.00299193
316.323,0.00302944
316.657,0.00307561
316.992,0.0031308
317.327,0.00319532
317.661,0.00326954
317.996,0.0033538
318.331,0.00344843
318.665,0.0035538
319.0,0.00367025
319.335,0.00379813
319.669,0.00393779
320.004,0.00408957
320.339,0.00425383
320.673,0.00443091
321.008,0.00462113
321.343,0.00482484
321.677,0.00504236
322.012,0.00527401
322.347,0.00552009
322.681,0.00578091
323.016,0.00605675
323.351,0.00634789
323.685,0.00665459
324.02,0.00697711
324.355,0.00731567
324.689,0.00767049
325.024,0.00804176
325.359,0.00842967
325.693,0.00883436
326.028,0.00925597
326.363,0.00969462
326.697,0.01015038
327.032,0.01062331
327.367,0.01111345
327.701,0.01162079
328.036,0.01214532
328.371,0.01268698
328.705,0.01324567
329.04,0.01382127
329.375,0.01441364
329.709,0.01502259
330.044,0.01564789
330.379,0.01628928
330.713,0.01694649
331.048,0.01761917
331.382,0.01830697
331.717,0.01900948
332.052,0.01972627
332.386,0.02045686
332.721,0.02120076
333.056,0.02195741
333.39,0.02272624
333.725,0.02350663
334.06,0.02429795
334.394,0.0250995
334.729,0.02591059
335.064,0.02673046
335.398,0.02755836
335.733,0.02839347
336.068,0.02923498
336.402,0.03008203
336.737,0.03093376
337.072,0.03178926
337.406,0.03264762
337.741,0.03350792
338.076,0.0343692
338.41,0.03523051
338.745,0.03609088
339.08,0.03694932
339.414,0.03780486
339.749,0.03865651
340.084,0.03950328
340.418,0.04034419
340.753,0.04117825
341.088,0.04200449
341.422,0.04282196
341.757,0.0436297
342.092,0.04442678
342.426,0.0452123
342.761,0.04598535
343.096,0.04674507
343.43,0.04749063
343.765,0.04822121
344.1,0.04893605
344.434,0.0496344
344.769,0.05031556
345.104,0.05097888
345.438,0.05162375
345.773,0.05224959
346.108,0.05285589
346.442,0.05344219
346.777,0.05400807
347.112,0.05455317
347.446,0.0550772
347.781,0.05557993
348.116,0.05606119
348.45,0.05652085
348.785,0.05695888
349.12,0.05737531
349.454,0.05777024
349.789,0.05814382
350.124,0.0584963
350.458,0.058828
350.793,0.0591393
351.128,0.05943066
351.462,0.05970264
351.797,0.05995584
352.132,0.06019097
352.466,0.06040881
352.801,0.06061022
353.136,0.06079612
353.47,0.06096755
353.805,0.0611256
354.14,0.06127144
354.474,0.06140635
354.809,0.06153165
355.144,0.06164877
355.478,0.06175921
355.813,0.06186454
356.148,0.06196643
356.482,0.0620666
356.817,0.06216687
357.152,0.06226912
357.486,0.06237531
357.821,0.06248749
358.156,0.06260774
358.49,0.06273826
358.825,0.06288129
359.16,0.06303914
359.494,0.06321419
359.829,0.06340888
360.164,0.06362573
360.498,0.06386729
360.833,0.0641362
361.168,0.06443513
361.502,0.06476681
361.837,0.06513403
362.172,0.06553963
362.506,0.06598648
362.841,0.0664775
363.176,0.06701566
363.51,0.06760395
363.845,0.06824542
364.18,0.06894312
364.514,0.06970014
364.849,0.07051962
365.184,0.07140467
365.518,0.07235847
365.853,0.07338417
366.188,0.07448496
366.522,0.07566403
366.857,0.07692456
367.192,0.07826974
367.526,0.07970274
367.861,0.08122674
368.195,0.08284489
368.53,0.08456032
368.865,0.08637615
369.199,0.08829547
369.534,0.09032131
369.869,0.0924567
370.203,0.0947046
370.538,0.09706793
370.873,0.09954958
371.207,0.10215234
371.542,0.10487897
371.877,0.10773216
372.211,0.11071451
372.546,0.11382855
372.881,0.11707675
373.215,0.12046145
373.55,0.12398493
373.885,0.12764937
374.219,0.13145682
374.554,0.13540925
374.889,0.13950851
