wavelength_nm,intensity_arb_gaussian_fwhm_0.35eV_COSMETIC
249.862,0.06210536
250.184,0.05891603
250.505,0.05581849
250.827,0.05281587
251.149,0.04991085
251.47,0.04710564
251.792,0.044402
252.114,0.04180123
252.435,0.03930421
252.757,0.03691141
253.079,0.03462289
253.4,0.03243835
253.722,0.03035711
254.044,0.02837818
254.365,0.02650026
254.687,0.02472177
255.009,0.02304086
255.331,0.02145546
255.652,0.01996331
255.974,0.01856195
256.296,0.01724876
256.617,0.01602102
256.939,0.01487587
257.261,0.01381039
257.582,0.01282159
257.904,0.01190644
258.226,0.01106186
258.547,0.0102848
258.869,0.00957219
259.191,0.008921
259.512,0.00832823
259.834,0.00779091
260.156,0.00730616
260.477,0.00687113
260.799,0.00648307
261.121,0.00613929
261.442,0.00583719
261.764,0.00557426
262.086,0.00534809
262.407,0.00515634
262.729,0.00499678
263.051,0.00486729
263.372,0.00476581
263.694,0.00469041
264.016,0.00463923
264.337,0.00461053
264.659,0.00460263
264.981,0.00461396
265.302,0.00464305
265.624,0.00468849
265.946,0.00474897
266.267,0.00482326
266.589,0.00491023
266.911,0.00500879
267.232,0.00511796
267.554,0.00523681
267.876,0.00536451
268.197,0.00550028
268.519,0.00564341
268.841,0.00579327
269.162,0.00594929
269.484,0.00611094
269.806,0.00627778
270.127,0.00644943
270.449,0.00662554
270.771,0.00680583
271.092,0.00699008
271.414,0.00717811
271.736,0.00736979
272.057,0.00756504
272.379,0.0077638
272.701,0.00796609
273.023,0.00817192
273.344,0.00838138
273.666,0.00859454
273.988,0.00881154
274.309,0.00903251
274.631,0.00925763
274.953,0.00948707
275.274,0.00972101
275.596,0.00995966
275.918,0.01020321
276.239,0.01045186
276.561,0.01070579
276.883,0.0109652
277.204,0.01123025
277.526,0.01150109
277.848,0.01177784
278.169,0.0120606
278.491,0.01234946
278.813,0.01264444
279.134,0.01294556
279.456,0.01325277
279.778,0.013566
280.099,0.01388513
280.421,0.01420998
280.743,0.01454036
281.064,0.01487598
281.386,0.01521655
281.708,0.01556169
282.029,0.01591099
282.351,0.01626398
282.673,0.01662016
282.994,0.01697896
283.316,0.01733978
283.638,0.01770195
283.959,0.01806479
284.281,0.01842755
284.603,0.01878947
284.924,0.01914973
285.246,0.01950751
285.568,0.01986193
285.889,0.02021211
286.211,0.02055716
286.533,0.02089614
286.854,0.02122814
287.176,0.02155223
287.498,0.02186748
287.819,0.02217297
288.141,0.02246778
288.463,0.02275101
288.784,0.02302179
289.106,0.02327927
289.428,0.02352261
289.749,0.02375104
290.071,0.02396379
290.393,0.02416015
290.715,0.02433946
291.036,0.02450109
291.358,0.02464448
291.68,0.02476911
292.001,0.02487452
292.323,0.02496032
292.645,0.02502616
292.966,0.02507177
293.288,0.02509693
293.61,0.0251015
293.931,0.02508537
294.253,0.02504854
294.575,0.02499104
294.896,0.02491296
295.218,0.02481448
295.54,0.02469582
295.861,0.02455726
296.183,0.02439914
296.505,0.02422186
296.826,0.02402586
297.148,0.02381164
297.47,0.02357975
297.791,0.02333076
298.113,0.02306531
298.435,0.02278407
298.756,0.02248773
299.078,0.02217703
299.4,0.02185272
299.721,0.02151559
300.043,0.02116644
300.365,0.02080608
300.686,0.02043536
301.008,0.02005511
301.33,0.01966619
301.651,0.01926944
301.973,0.01886571
302.295,0.01845587
302.616,0.01804074
302.938,0.01762116
303.26,0.01719797
303.581,0.01677195
303.903,0.01634391
304.225,0.01591463
304.546,0.01548485
304.868,0.0150553
305.19,0.0146267
305.511,0.01419972
305.833,0.01377502
306.155,0.01335323
306.476,0.01293495
306.798,0.01252075
307.12,0.01211117
307.441,0.01170673
307.763,0.0113079
308.085,0.01091514
308.407,0.01052888
308.728,0.0101495
309.05,0.00977738
309.372,0.00941286
309.693,0.00905623
310.015,0.0087078
310.337,0.00836781
310.658,0.00803652
310.98,0.00771412
311.302,0.00740082
311.623,0.0070968
311.945,0.0068022
312.267,0.00651718
312.588,0.00624185
312.91,0.00597633
313.232,0.00572073
313.553,0.00547515
313.875,0.00523967
314.197,0.00501439
314.518,0.00479938
314.84,0.00459474
315.162,0.00440054
315.483,0.00421689
315.805,0.00404389
316.127,0.00388164
316.448,0.00373027
316.77,0.00358992
317.092,0.00346074
317.413,0.00334291
317.735,0.00323663
318.057,0.00314212
318.378,0.00305964
318.7,0.00298946
319.022,0.0029319
319.343,0.00288732
319.665,0.0028561
319.987,0.00283868
320.308,0.00283553
320.63,0.00284718
320.952,0.00287421
321.273,0.00291723
321.595,0.00297694
321.917,0.00305408
322.238,0.00314945
322.56,0.00326392
322.882,0.00339842
323.203,0.00355396
323.525,0.00373161
323.847,0.00393254
324.168,0.00415797
324.49,0.00440922
324.812,0.00468768
325.133,0.00499483
325.455,0.00533225
325.777,0.00570159
326.099,0.00610461
326.42,0.00654316
326.742,0.00701919
327.064,0.00753473
327.385,0.00809194
327.707,0.00869307
328.029,0.00934045
328.35,0.01003656
328.672,0.01078394
328.994,0.01158526
