nm,benzene_b3lyp,benzene_camb3lyp,aniline_b3lyp,aniline_camb3lyp,nitrobenzene_b3lyp,nitrobenzene_camb3lyp,pNA_b3lyp,pNA_camb3lyp
307,1.503e-83,6.996e-89,0.2551,0.0005747,80.56,0.2182,2.313e+04,1446
307.5,6.176e-84,2.799e-89,0.2106,0.0004488,72.71,0.1909,2.349e+04,1297
308,2.541e-84,1.121e-89,0.1737,0.0003502,65.52,0.1668,2.381e+04,1161
308.5,1.046e-84,4.496e-90,0.143,0.0002729,58.95,0.1455,2.408e+04,1037
309,4.311e-85,1.805e-90,0.1176,0.0002124,52.96,0.1268,2.431e+04,925.8
309.5,1.779e-85,7.252e-91,0.09657,0.0001652,47.5,0.1103,2.449e+04,824.9
310,7.344e-86,2.917e-91,0.07922,0.0001283,42.54,0.09582,2.463e+04,733.9
310.5,3.036e-86,1.175e-91,0.0649,9.954e-05,38.04,0.08312,2.472e+04,652
311,1.256e-86,4.735e-92,0.0531,7.715e-05,33.96,0.072,2.476e+04,578.3
311.5,5.201e-87,1.91e-92,0.0434,5.974e-05,30.28,0.06229,2.476e+04,512.2
312,2.156e-87,7.717e-93,0.03543,4.621e-05,26.95,0.05381,2.472e+04,453
312.5,8.947e-88,3.121e-93,0.02888,3.57e-05,23.96,0.04642,2.462e+04,400.1
313,3.716e-88,1.263e-93,0.02352,2.756e-05,21.27,0.03999,2.449e+04,352.8
313.5,1.545e-88,5.119e-94,0.01913,2.125e-05,18.85,0.03441,2.431e+04,310.7
314,6.431e-89,2.077e-94,0.01555,1.637e-05,16.69,0.02957,2.409e+04,273.3
314.5,2.679e-89,8.434e-95,0.01262,1.26e-05,14.75,0.02537,2.383e+04,240
315,1.117e-89,3.429e-95,0.01023,9.691e-06,13.02,0.02175,2.353e+04,210.5
315.5,4.664e-90,1.396e-95,0.008282,7.445e-06,11.48,0.01861,2.32e+04,184.3
316,1.949e-90,5.687e-96,0.0067,5.715e-06,10.1,0.01591,2.283e+04,161.2
316.5,8.152e-91,2.32e-96,0.005414,4.382e-06,8.881,0.01359,2.243e+04,140.8
317,3.413e-91,9.472e-97,0.00437,3.358e-06,7.798,0.01159,2.2e+04,122.9
317.5,1.431e-91,3.872e-97,0.003524,2.57e-06,6.837,0.009868,2.154e+04,107
318,6.003e-92,1.585e-97,0.002838,1.966e-06,5.987,0.008395,2.105e+04,93.15
318.5,2.521e-92,6.492e-98,0.002284,1.502e-06,5.236,0.007133,2.055e+04,80.95
319,1.06e-92,2.663e-98,0.001836,1.147e-06,4.574,0.006054,2.002e+04,70.26
319.5,4.461e-93,1.093e-98,0.001474,8.75e-07,3.99,0.005132,1.948e+04,60.91
320,1.88e-93,4.494e-99,0.001183,6.669e-07,3.476,0.004346,1.892e+04,52.74
320.5,7.928e-94,1.85e-99,0.0009482,5.08e-07,3.025,0.003675,1.835e+04,45.61
321,3.347e-94,7.62e-100,0.0007592,3.866e-07,2.63,0.003105,1.777e+04,39.39
321.5,1.415e-94,3.143e-100,0.0006074,2.94e-07,2.283,0.00262,1.718e+04,33.99
